10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,1
150,1
160,1
170,1
180,1
190,4
200,1
210,1
220,3
230,3
240,3
250,4
260,4
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,3
170,4
180,4
190,4
200,4
210,4
220,4
230,4
240,4
250,4
260,4
270,4
280,4
290,6
300,7
310,9
320,17
330,18
340,19
350,20
360,20
370,20
380,20
390,20
400,27
410,29
420,30
430,30
440,30
450,30
460,30
470,30
480,30
490,30
500,0
510,0
520,1
530,1
540,1
550,1
560,1
570,4
580,6
590,8
600,11
610,11
620,13
630,13
640,13
650,15
660,17
670,20
680,24
690,27
700,28
710,29
720,31
730,35
740,38
750,42
760,45
770,48
780,49
790,49
800,54
810,55
820,57
830,59
840,65
850,71
860,72
870,74
880,74
890,74
900,76
910,83
920,90
930,94
940,97
950,97
960,97
970,99
980,100
990,100
1000,0
1010,1
1020,3
1030,4
1040,5
1050,7
1060,12
1070,12
1080,14
1090,18
1100,19
1110,22
1120,27
1130,30
1140,37
1150,44
1160,47
1170,52
1180,56
1190,60
1200,66
1210,70
1220,74
1230,83
1240,92
1250,98
1260,101
1270,109
1280,113
1290,118
1300,118
1310,118
1320,122
1330,124
1340,127
1350,130
1360,134
1370,138
1380,139
1390,141
1400,147
1410,152
1420,152
1430,160
1440,170
1450,172
1460,173
1470,180
1480,189
1490,194
1500,0
1510,3
1520,9
1530,15
1540,19
1550,27
1560,31
1570,35
1580,41
1590,46
1600,53
1610,56
1620,61
1630,68
1640,72
1650,76
1660,80
1670,87
1680,92
1690,97
1700,106
1710,115
1720,122
1730,128
1740,137
1750,145
1760,149
1770,150
1780,151
1790,153
1800,155
1810,160
1820,164
1830,166
1840,170
1850,174
1860,181
1870,187
1880,194
1890,199
1900,206
1910,213
1920,219
1930,223
1940,228
1950,235
1960,239
1970,244
1980,250
1990,257
2000,0
2010,6
2020,14
2030,17
2040,24
2050,31
2060,39
2070,43
2080,48
2090,51
2100,56
2110,58
2120,60
2130,63
2140,70
2150,77
2160,82
2170,85
2180,90
2190,94
2200,100
2210,108
2220,114
2230,119
2240,127
2250,131
2260,134
2270,139
2280,147
2290,155
2300,160
2310,165
2320,171
2330,179
2340,188
2350,197
2360,205
2370,214
2380,222
2390,230
2400,238
2410,248
2420,257
2430,265
2440,274
2450,284
2460,293
2470,301
2480,309
2490,319
2500,1
2510,10
2520,19
2530,29
2540,39
2550,46
2560,55
2570,64
2580,73
2590,82
2600,91
2610,100
2620,110
2630,120
2640,130
2650,138
2660,146
2670,155
2680,164
2690,173
2700,180
2710,185
2720,191
2730,194
2740,197
2750,200
2760,207
2770,210
2780,216
2790,219
2800,220
2810,221
2820,222
2830,224
2840,225
2850,226
2860,227
2870,229
2880,232
2890,236
2900,238
2910,242
2920,247
2930,254
2940,257
2950,260
2960,265
2970,269
